Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
1,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0,no,no,no,yes,no,2100000,397475,611289,6.7,11680,-14.6,243197,C. Douglas McMillon,U.S.,Bentonville,AR,www.stock.walmart.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",416986,8/2/2023
2,Amazon,AMZN,Retailing,Internet Services and Retailing,no,no,no,no,0,no,no,no,yes,no,1541000,1058440,513983,9.4,-2722,-108.2,462675,Andrew R. Jassy,U.S.,Seattle,WA,www.amazon.com,Public,"Market value as of July 17, 2023.",1370373,8/2/2023
3,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,3,yes,no,no,yes,no,62000,446424,413680,44.8,55740,141.9,369067,Darren W. Woods,U.S.,Irving,TX,www.exxonmobil.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",409878,8/2/2023
4,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,yes,-1,no,yes,no,yes,no,164000,2609039,394328,7.8,99803,5.4,352755,Timothy D. Cook,U.S.,Cupertino,CA,www.apple.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",3051211,8/2/2023
5,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,0,no,no,no,yes,no,400000,440854,324162,12.7,20120,16.4,245705,Andrew P. Witty,U.S.,Minnetonka,MN,www.unitedhealthgroup.com,Public,"Market value as of July 17, 2023.",450694,8/2/2023
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,yes,-2,no,yes,no,yes,no,259500,95422,322467,10.4,4149,-47.5,228275,Karen S. Lynch,U.S.,Woonsocket,RI,www.cvshealth.com,Public,"Market value as of July 17, 2023.",91242,8/2/2023
7,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),no,no,no,yes,0,no,no,no,yes,no,383000,675657,302089,9.4,-22819,-125.4,948452,Warren E. Buffett,U.S.,Omaha,NE,www.berkshirehathaway.com,Public,"Market value as of July 17, 2023.",752829,8/2/2023
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,yes,0,no,no,no,yes,no,190234,1330201,282836,9.8,59972,-21.1,365264,Sundar Pichai,U.S.,Mountain View,CA,www.abc.xyz,Public,"Market value as of July 17, 2023.",1585270,8/2/2023
9,McKesson,MCK,Health Care,Wholesalers: Health Care,yes,no,no,no,0,no,no,no,yes,no,66500,48757,263966,10.8,1114,,63298,Brian S. Tyler,U.S.,Irving,TX,www.mckesson.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of July 17, 2023.",55787,8/2/2023
10,Chevron,CVX,Energy,Petroleum Refining,yes,no,no,yes,6,yes,no,no,yes,no,43846,311093,246252,51.6,35465,127,257709,Michael K. Wirth,U.S.,San Ramon,CA,www.chevron.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",290714,8/2/2023
11,AmerisourceBergen,ABC,Health Care,Wholesalers: Health Care,yes,no,no,yes,-1,no,yes,no,yes,no,41500,32384,238587,11.5,1699,10.3,56561,Steven H. Collis,U.S.,Conshohocken,PA,www.amerisourcebergen.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",38809,8/2/2023
12,Costco Wholesale,COST,Retailing,General Merchandisers,yes,no,no,yes,-1,no,yes,no,yes,no,304000,220354,226954,15.8,5844,16.7,64166,W. Craig Jelinek,U.S.,Issaquah,WA,www.costco.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",245043,8/2/2023
13,Microsoft,MSFT,Technology,Computer Software,yes,no,no,yes,1,yes,no,no,yes,no,221000,2146049,198270,18,72738,18.7,364840,Satya Nadella,U.S.,Redmond,WA,www.microsoft.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",2570671,8/2/2023
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,no,no,no,no,1,yes,no,no,yes,no,46035,19452,181364,11.6,-933,-252.7,43878,Jason Hollar,U.S.,Dublin,OH,www.cardinalhealth.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",23797,8/2/2023
15,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-3,no,yes,no,yes,no,70231,75901,180516,3.7,6668,24.3,143932,David M. Cordani,U.S.,Bloomfield,CT,www.thecignagroup.com,Public,"Market value as of July 17, 2023.",83187,8/2/2023
16,Marathon Petroleum,MPC,Energy,Petroleum Refining,yes,no,no,yes,3,yes,no,no,yes,no,17800,59544,180012,27.6,14516,49.1,89904,Michael J. Hennigan,U.S.,Findlay,OH,www.marathonpetroleum.com,Public,"Includes revenues from discontinued operations. Excise taxes have been deducted. Market value as of July 17, 2023.",50121,8/2/2023
17,Phillips 66,PSX,Energy,Petroleum Refining,yes,no,no,no,12,yes,no,no,yes,no,13000,46727,175702,53,11024,737.1,76442,Mark E. Lashier,U.S.,Houston,TX,www.phillips66.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",45649,8/2/2023
18,Valero Energy,VLO,Energy,Petroleum Refining,yes,no,no,no,12,yes,no,no,yes,no,9743,51351,171189,58,11528,1139.6,60982,R. Lane Riggs,U.S.,San Antonio,TX,www.valero.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",41108,8/2/2023
19,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,no,no,no,no,3,yes,no,no,yes,no,173000,50400,158057,15.9,-1981,-111,255884,James D. Farley Jr.,U.S.,Dearborn,MI,www.ford.com,Public,"Market value as of July 17, 2023.",56371,8/2/2023
20,Home Depot,HD,Retailing,Specialty Retailers: Other,yes,no,no,no,-3,no,yes,no,yes,no,471600,299534,157403,4.1,17105,4.1,76445,Edward P. Decker,U.S.,Atlanta,GA,www.homedepot.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",317749,8/2/2023
21,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,yes,4,yes,no,no,yes,no,167000,51155,156735,23.4,9934,-0.8,264037,Mary T. Barra,U.S.,Detroit,MI,www.gm.com,Public,"Market value as of July 17, 2023.",53867,8/2/2023
22,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,-2,no,yes,no,yes,yes,102300,109098,156595,13,6025,-1.3,102772,Gail K. Boudreaux,U.S.,Indianapolis,IN,www.elevancehealth.com,Public,"Market value as of July 17, 2023.",103634,8/2/2023
23,JPMorgan Chase,JPM,Financials,Commercial Banks,yes,no,no,yes,1,yes,no,no,yes,no,293723,383549,154792,21.7,37676,-22.1,3665743,James Dimon,U.S.,New York,NY,www.jpmorganchase.com,Public,"Market value as of July 17, 2023.",448221,8/2/2023
24,Kroger,KR,Food & Drug Stores,Food and Drug Stores,yes,no,no,yes,-3,no,yes,no,yes,no,430000,35421,148258,7.5,2244,35.6,49623,W. Rodney McMullen,U.S.,Cincinnati,OH,www.thekrogerco.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",33404,8/2/2023
25,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,1,yes,no,no,yes,no,74300,34810,144547,14.7,1202,-10.8,76870,Sarah M. London,U.S.,St. Louis,MO,www.centene.com,Public,"Market value as of July 17, 2023.",35708,8/2/2023
26,Verizon Communications,VZ,Telecommunications,Telecommunications,yes,no,no,no,-3,no,yes,no,yes,no,117100,163333,136835,2.4,21256,-3.7,379680,Hans E. Vestberg,U.S.,New York,NY,www.verizon.com,Public,"Market value as of July 17, 2023.",132258,8/2/2023
27,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food and Drug Stores,yes,no,yes,yes,-9,no,yes,no,yes,no,262500,29836,132703,-10.7,4337,70.6,90124,Ginger Graham,U.S.,Deerfield,IL,www.walgreensbootsalliance.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",25138,8/2/2023
28,Fannie Mae,FNMA,Financials,Diversified Financials,yes,no,yes,yes,5,yes,no,no,yes,no,8000,475,121596,19.7,12923,-41.7,4305288,Priscilla Almodovar,U.S.,Washington,DC,www.fanniemae.com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",2541,8/2/2023
29,Comcast,CMCSA,Telecommunications,Telecommunications,yes,no,no,no,-1,no,yes,no,yes,yes,186000,159831,121427,4.3,5370,-62.1,257275,Brian L. Roberts,U.S.,Philadelphia,PA,www.comcastcorporation.com,Public,"Market value as of July 17, 2023.",175466,8/2/2023
30,AT&T,T,Telecommunications,Telecommunications,no,no,no,no,-17,no,yes,no,yes,no,160700,137250,120741,-28.5,-8524,-142.4,402853,John T. Stankey,U.S.,Dallas,TX,www.att.com,Public,"Market value as of July 17, 2023.",96726,8/2/2023
31,Meta Platforms,META,Technology,Internet Services and Retailing,yes,yes,no,yes,-4,no,yes,no,yes,no,86482,549484,116609,-1.1,23200,-41.1,185727,Mark Zuckerberg,U.S.,Menlo Park,CA,investor.fb.com,Public,"Market value as of July 17, 2023.",796036,8/2/2023
32,Bank of America,BAC,Financials,Commercial Banks,yes,no,no,yes,4,yes,no,no,yes,yes,216823,228780,115053,22.6,27528,-13.9,3051375,Brian T. Moynihan,U.S.,Charlotte,NC,www.bankofamerica.com,Public,"Market value as of July 17, 2023.",234293,8/2/2023
33,Target,TGT,Retailing,General Merchandisers,yes,no,no,no,-1,no,yes,no,yes,yes,440000,76250,109120,2.9,2780,-60,53335,Brian C. Cornell,U.S.,Minneapolis,MN,www.target.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",60007,8/2/2023
34,Dell Technologies,DELL,Technology,"Computers, Office Equipment",yes,yes,no,no,-3,no,yes,no,yes,no,133000,29402,102301,-4.4,2442,-56.1,89611,Michael S. Dell,U.S.,Round Rock,TX,www.delltechnologies.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",39780,8/2/2023
35,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,3,yes,no,no,yes,no,41181,43530,101556,19.1,4340,60.2,59774,Juan R. Luciano,U.S.,Chicago,IL,www.adm.com,Public,"Market value as of July 17, 2023.",43331,8/2/2023
36,Citigroup,C,Financials,Commercial Banks,yes,no,yes,yes,8,yes,no,no,yes,no,238104,91270,101078,26.6,14845,-32.4,2416676,Jane Fraser,U.S.,New York,NY,www.citigroup.com,Public,"Market value as of July 17, 2023.",89592,8/2/2023
37,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,yes,-3,no,yes,no,yes,no,404700,166189,100338,3.1,11548,-10.4,71124,Carol B. Tomé,U.S.,Atlanta,GA,www.ups.com,Public,"Market value as of July 17, 2023.",156953,8/2/2023
38,Pfizer,PFE,Health Care,Pharmaceuticals,yes,no,no,yes,5,yes,no,no,yes,no,83000,230292,100330,23.4,31372,42.7,197205,Albert Bourla,U.S.,New York,NY,www.pfizer.com,Public,"Market value as of July 17, 2023.",202441,8/2/2023
39,Lowe's,LOW,Retailing,Specialty Retailers: Other,yes,no,no,no,-4,no,yes,no,yes,no,244500,119253,97059,0.8,6437,-23.8,43708,Marvin R. Ellison,U.S.,Mooresville,NC,www.lowes.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",133586,8/2/2023
40,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,yes,no,no,yes,-3,no,yes,no,yes,no,152700,483576,94943,1.2,17941,-14.1,187378,Joaquin Duato,U.S.,New Brunswick,NJ,www.jnj.com,Public,"Market value as of July 17, 2023.",413381,8/2/2023
41,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-2,no,yes,no,yes,no,464400,57431,93512,11.4,3826,-26.9,85994,Rajesh Subramaniam,U.S.,Memphis,TN,www.fedex.com,Public,"Figures are for fiscal year ended May 31, 2022. Market value as of July 17, 2023.",63985,8/2/2023
42,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,yes,no,no,no,-2,no,yes,no,yes,no,67100,60719,92870,11.8,2806,-4.3,43055,Bruce D. Broussard,U.S.,Louisville,KY,www.humana.com,Public,"Market value as of July 17, 2023.",54277,8/2/2023
43,Energy Transfer,ET,Energy,Pipelines,yes,no,no,yes,11,yes,no,no,yes,no,12565,38590,89876,33.3,4756,-13.1,105643,Thomas E. Long/Marshall S. McCrea III,U.S.,Dallas,TX,www.energytransfer.com,Public,"A partnership. Market value as of July 17, 2023.",40742,8/2/2023
44,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,-2,no,yes,no,yes,no,60519,,89328,8.6,-6654,-619.5,318243,Michael L. Tipsord,U.S.,Bloomington,IL,www.statefarm.com,Private,,,8/2/2023
45,Freddie Mac,FMCC,Financials,Diversified Financials,yes,no,no,yes,11,yes,no,no,yes,no,7819,266,86717,31.6,9327,-23,3208333,Michael J. DeVito,U.S.,McLean,VA,www.freddiemac.com,Public,"Company&#039;s senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",1429,8/2/2023
46,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,-1,no,yes,no,yes,no,315000,251085,86392,8.7,8910,17,92187,Ramon L. Laguarta,U.S.,Purchase,NY,www.pepsico.com,Public,"Market value as of July 17, 2023.",255535,8/2/2023
47,Wells Fargo,WFC,Financials,Commercial Banks,yes,no,no,no,-6,no,yes,no,yes,no,238000,141188,82859,0.5,13182,-38.8,1881016,Charles W. Scharf,U.S.,San Francisco,CA,www.wellsfargo.com,Public,"Market value as of July 17, 2023.",164093,8/2/2023
48,Walt Disney,DIS,Media,Entertainment,yes,no,no,yes,5,yes,no,no,yes,no,195800,182920,82722,22.7,3145,57.6,203631,Robert A. Iger,U.S.,Burbank,CA,www.thewaltdisneycompany.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",156344,8/2/2023
49,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",yes,no,no,no,28,yes,no,no,yes,no,9500,120777,82156,69.9,18680,131.2,93829,Ryan M. Lance,U.S.,Houston,TX,www.conocophillips.com,Public,"Market value as of July 17, 2023.",128992,8/2/2023
50,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,15,yes,no,no,yes,no,127855,656425,81462,51.4,12556,127.5,82338,Elon Musk,U.S.,Austin,TX,www.tesla.com,Public,"Market value as of July 17, 2023.",920361,8/2/2023
51,Procter & Gamble,PG,Household Products,Household and Personal Products,yes,no,no,yes,-4,no,yes,no,yes,no,106000,350781,80187,5.3,14742,3,117208,Jon R. Moeller,U.S.,Cincinnati,OH,www.pg.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",351165,8/2/2023
52,General Electric,GE,Industrials,Industrial Machinery,yes,no,no,yes,-4,no,yes,no,yes,no,172000,104231,76555,3.2,225,,187788,H. Lawrence Culp Jr.,U.S.,Boston,MA,www.ge.com,Public,"Market value as of July 17, 2023.",121027,8/2/2023
53,Albertsons,ACI,Food & Drug Stores,Food and Drug Stores,yes,no,no,no,-1,no,yes,no,yes,no,195750,11132,71887,3.2,1620,90.5,28123,Vivek Sankaran,U.S.,Boise,ID,www.albertsonscompanies.com,Public,"Figures are for fiscal year ended Feb. 28, 2023. Market value as of July 17, 2023.",12664,8/2/2023
54,MetLife,MET,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-4,no,yes,no,yes,yes,45000,44867,69898,-1.7,2539,-61.3,666611,Michel A. Khalaf,U.S.,New York,NY,www.metlife.com,Public,"Market value as of July 17, 2023.",45183,8/2/2023
55,Goldman Sachs Group,GS,Financials,Commercial Banks,yes,no,no,yes,2,yes,no,no,yes,no,48500,113964,68711,5.7,11261,-48,1441799,David M. Solomon,U.S.,New York,NY,www.goldmansachs.com,Public,"Market value as of July 17, 2023.",113555,8/2/2023
56,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,14,yes,no,no,yes,no,70510,39202,68636,33.8,1359,159.2,22086,Kevin P. Hourican,U.S.,Houston,TX,www.sysco.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",37196,8/2/2023
57,RTX,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,1,yes,no,no,yes,no,182000,143292,67074,4.2,5197,34.5,158864,Gregory J. Hayes,U.S.,Arlington,VA,www.rtx.com,Public,"Changed name from Raytheon Technologies, July 17, 2023. Market value as of July 17, 2023.",140737,8/2/2023
58,Boeing,BA,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,2,yes,no,no,yes,no,156000,127283,66608,6.9,-4935,,137100,David L. Calhoun,U.S.,Arlington,VA,www.boeing.com,Public,"Market value as of July 17, 2023.",127460,8/2/2023
59,StoneX Group,SNEX,Financials,Diversified Financials,yes,no,no,yes,28,yes,no,no,yes,no,3615,2138,66036,55.3,207,78.1,19860,Sean M. O&#039;Connor,U.S.,New York,NY,www.stonex.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Company reports sale of physical commodities on a gross basis. Market value as of July 17, 2023.",1852,8/2/2023
60,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,-5,no,yes,no,yes,no,116000,120319,65984,-1.6,5732,-9.2,52880,James D. Taiclet Jr.,U.S.,Bethesda,MD,www.lockheedmartin.com,Public,"Market value as of July 17, 2023.",119021,8/2/2023
61,Morgan Stanley,MS,Financials,Commercial Banks,yes,no,no,yes,0,no,no,no,yes,no,82427,147674,65936,7.9,11029,-26.6,1180231,James P. Gorman,U.S.,New York,NY,www.morganstanley.com,Public,"Market value as of July 17, 2023.",144248,8/2/2023
62,Intel,INTC,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-16,no,yes,no,yes,no,131900,136268,63054,-20.2,8014,-59.7,182103,Patrick P. Gelsinger,U.S.,Santa Clara,CA,www.intel.com,Public,"Market value as of July 17, 2023.",143357,8/2/2023
63,HP,HPQ,Technology,"Computers, Office Equipment",yes,no,no,yes,-4,no,yes,no,yes,yes,58000,28919,62983,-0.8,3203,-50.7,38587,Enrique J. Lores,U.S.,Palo Alto,CA,www.hp.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",32359,8/2/2023
64,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,yes,45,yes,no,no,yes,no,28500,9061,62344,97.2,651,64.9,29734,Richard T. Hume,U.S.,Fremont,CA,www.tdsynnex.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of July 17, 2023.",9199,8/2/2023
65,IBM,IBM,Technology,Information Technology Services,yes,no,no,yes,-16,no,yes,no,yes,no,303100,118913,60530,-16.3,1639,-71.5,127243,Arvind Krishna,U.S.,Armonk,NY,www.ibm.com,Public,"Market value as of July 17, 2023.",121896,8/2/2023
66,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,yes,no,no,yes,-4,no,yes,no,yes,no,250500,73107,60233,2.5,5643,-18.9,52438,Samuel N. Hazen,U.S.,Nashville,TN,www.hcahealthcare.com,Public,"Market value as of July 17, 2023.",80317,8/2/2023
67,Prudential Financial,PRU,Financials,"Insurance: Life, Health (stock)",no,no,no,no,-16,no,yes,no,yes,no,39583,30363,60050,-15.3,-1438,-118.6,689917,Charles F. Lowrey,U.S.,Newark,NJ,www.prudential.com,Public,"Market value as of July 17, 2023.",33763,8/2/2023
68,Caterpillar,CAT,Industrials,Construction and Farm Machinery,yes,no,no,yes,5,yes,no,no,yes,no,109100,118161,59427,16.6,6705,3.3,81943,D. James Umpleby III,U.S.,Irving,TX,www.caterpillar.com,Public,"Market value as of July 17, 2023.",132683,8/2/2023
69,Merck,MRK,Health Care,Pharmaceuticals,yes,no,no,yes,2,yes,no,no,yes,yes,68000,270081,59283,15.8,14519,11.3,109160,Robert M. Davis,U.S.,Rahway,NJ,www.merck.com,Public,"Market value as of July 17, 2023.",267877,8/2/2023
70,World Kinect,WKC,Energy,Energy,yes,no,no,yes,41,yes,no,no,yes,no,5214,1585,59043,88.4,114,54.8,8165,Michael J. Kasbar,U.S.,Miami,FL,www.world-kinect.com,Public,"Changed name from World Fuel Services, June 16, 2023. Market value as of July 17, 2023.",1377,8/2/2023
71,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,1,yes,no,no,yes,no,15050,,58445,14.2,-1127,-506.6,392126,Craig DeSanto,U.S.,New York,NY,www.newyorklife.com,Private,,,8/2/2023
72,Enterprise Products Partners,EPD,Energy,Pipelines,yes,no,no,yes,17,yes,no,no,yes,no,7300,56224,58186,42.6,5490,18.4,68108,A. James Teague/W. Randall Fowler,U.S.,Houston,TX,www.enterpriseproducts.com,Public,"A partnership. Market value as of July 17, 2023.",58016,8/2/2023
73,AbbVie,ABBV,Health Care,Pharmaceuticals,yes,no,no,no,-10,no,yes,no,yes,yes,50000,281151,58054,3.3,11836,2.5,138805,Richard A. Gonzalez,U.S.,North Chicago,IL,www.abbvie.com,Public,"Market value as of July 17, 2023.",237879,8/2/2023
74,Plains GP Holdings,PAGP,Energy,Pipelines,yes,no,no,no,14,yes,no,no,yes,no,4100,2551,57342,36.3,168,180,29207,Wilfred C.W. Chiang,U.S.,Houston,TX,www.plains.com,Public,"A partnership. Market value as of July 17, 2023.",2953,8/2/2023
75,Dow,DOW,Chemicals,Chemicals,yes,no,no,yes,-11,no,yes,no,yes,yes,37800,38812,56902,3.5,4582,-27.4,60603,James R. Fitterling,U.S.,Midland,MI,www.dow.com,Public,"Market value as of July 17, 2023.",37120,8/2/2023
76,American International Group,AIG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-9,no,yes,no,yes,no,26200,36948,56437,8.4,10276,9.5,526634,Peter S. Zaffino,U.S.,New York,NY,www.aig.com,Public,"Market value as of July 17, 2023.",42774,8/2/2023
77,American Express,AXP,Financials,Diversified Financials,yes,no,no,yes,8,yes,no,no,yes,yes,77300,122734,55625,27.4,7514,-6.8,228354,Stephen J. Squeri,U.S.,New York,NY,www.americanexpress.com,Public,"Market value as of July 17, 2023.",130357,8/2/2023
78,Publix Super Markets,,Food & Drug Stores,Food and Drug Stores,yes,no,no,yes,-2,no,yes,no,yes,yes,242000,,54942,13.5,2918,-33.9,31047,Randall T. Jones Sr.,U.S.,Lakeland,FL,www.publix.com,Private,,,8/2/2023
79,Charter Communications,CHTR,Telecommunications,Telecommunications,yes,no,no,yes,-10,no,yes,no,yes,no,101700,60477,54022,4.5,5055,8.6,144523,Christopher L. Winfrey,U.S.,Stamford,CT,www.charter.com,Public,"Market value as of July 17, 2023.",65666,8/2/2023
80,Tyson Foods,TSN,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,1,yes,no,no,yes,no,142000,21096,53282,13.2,3238,6.3,36821,Donnie D. King,U.S.,Springdale,AR,www.tysonfoods.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",18449,8/2/2023
